"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.46053612535629,0.106940166460282,125142.696543134,51.0616011373461,0
"an2005",0.282811829820214,0.00781720876671337,113734.574937359,36.1781088698132,5.67806879183063e-285
"an2006",0.337973143983887,0.00796527708820318,118480.675642733,42.4308081490894,0
"an2007",0.35273428456124,0.00822848749454869,123886.250556182,42.8674510102766,0
"an2008",0.347676528860129,0.00838435115379011,126471.487456454,41.4673148205348,0
"an2009",0.338744283365226,0.00875331211816175,123410.870516394,38.6989837438088,0
"an2010",0.315617501163322,0.00912905433575432,114696.426978933,34.5728582123991,1.43185566007613e-260
"an2011",0.29554453256925,0.00951305768511467,102249.652605246,31.0672490750999,6.44702175231106e-211
"an2012",0.267090964469985,0.00999365985938722,89994.9132386238,26.726041132879,9.64257821920193e-157
"an2013",0.265390828376483,0.0106523046397864,81441.9268153899,24.9139352798124,1.7111161809343e-136
"an2014",0.25300125236101,0.0111089897215645,70901.4341419064,22.7744609277918,2.11899706900206e-114
"age",0.111047919545382,0.00246686045228446,125701.849227809,45.0158903161893,0
"age2",-0.00153613747353806,4.60670145865243e-05,125554.58687104,-33.3457135724055,9.75815661908342e-243
"dp",0.00301427922802157,2.0260056422101e-05,123163.719771152,148.779409357093,0
"dp_reste",0.000482893554459411,2.89313474498667e-05,123560.135669505,16.691015007033,1.78423028554789e-62
"pas_an_emploi",0.140993403400503,0.00261365388877775,120572.721651355,53.9449404551562,0
"cumul_emploi",-0.179239994515919,0.00478177345438667,119335.42367727,-37.4839996552929,1.0225960398877e-305
"xp",0.0163618346871289,0.00072842725659046,33192.5249892698,22.461864982529,6.58811837441397e-111
"nbheur",0.000597848768354216,3.64636404640824e-06,124589.848189904,163.957509657631,0
"nbheur_autre",0.000703011614771719,8.16852056131828e-06,121858.61959174,86.0635178052686,0
"nbsa_ent",1.17446016071661e-07,6.07985393860515e-08,126135.849198581,1.93172430222239,0.0533957807070865
"nes5ES",-0.127671573268235,0.0188585764945869,124382.26436453,-6.7699475251953,1.2939766353597e-11
"nes5ET",-0.00149172172592271,0.0116700474159274,119773.988233535,-0.127824821335927,0.898287821205146
"nes5EU",0.00317544503447856,0.013059175607195,118227.674991704,0.243158154082027,0.807883304152046
"nes5EW",0.0093686101864744,0.0108786838950967,118140.33404535,0.861189669340156,0.38913533666822
"nes5EX",0.0141598024525506,0.00776250425465743,118826.715087683,1.82412814061324,0.068135212311264
"sx1",0.0594836205957121,0.00340932272827637,14821.9420867992,17.4473422836638,1.70256398997513e-67
"sectETAT",-0.0653601863924031,0.0303669701982017,117886.584367925,-2.15234466809842,0.031372241605274
"sectFPH",-0.0206017739647912,0.0300244678099196,118032.589066484,-0.686166166048901,0.492609678488301
"sectFPT",-0.0669948859339391,0.0294756488939323,119343.184151346,-2.27288926445756,0.0230346235404093
"sectPE",-0.693518030213444,0.045498956415396,126053.652727706,-15.2425041111222,2.05682639417385e-52
"sectPRIV",0.0986122146465069,0.0338523285829468,123846.894872485,2.91301126907362,0.00358025625831252
"ceC",-0.053366616421277,0.0545320067012844,118514.100357819,-0.978629242705276,0.327765202554343
"ceD",-0.289912593149665,0.0583428701629923,119318.203003242,-4.96911777462675,6.73510358002798e-07
"ceP",-0.163075977952751,0.0545734521325589,118512.469885168,-2.98819245586003,0.00280690255023539
"commune1",-0.00441718355747646,0.00217180553154343,124153.380516356,-2.03387618887651,0.041966201885482
"region1",0.000782524174134414,0.00433399334623907,123921.231734507,0.180555001270011,0.856717174294877
"catA",0.31856749183726,0.0238301633775292,124893.410577532,13.3682462344197,9.88850775953568e-41
"catB",0.131906932791384,0.0209807244602646,126303.445172218,6.2870532922351,3.2460050209379e-10
"catC",0.126569937493359,0.0191138431603991,125794.048861534,6.62189892588383,3.56032306443979e-11
"tain01",-0.0629768220559119,0.00567246106716056,120812.964959265,-11.1022043713093,1.26357765036239e-28
"tain02",-0.036045844871221,0.00576303575889093,121622.523888779,-6.25466271237537,3.99694459627374e-10
"tain03",-0.0250384101456576,0.00591234446720097,122706.53683984,-4.23493764352862,2.28781386849478e-05
"tain04",-0.0113518765507073,0.00595464403577267,123529.708487793,-1.90639045466205,0.0566018842885911
"tain05",-0.000894270337339522,0.00640668913204277,124597.804431983,-0.13958385039581,0.888989026815852
"tain06",0.022911477668455,0.00661861028932842,125149.376336383,3.4616749841574,0.000537004097850045
"tain07",0.04061678405588,0.0064878494315149,125299.157977617,6.26043876089092,3.85133537560469e-10
"tain08",0.0412623150554976,0.00695142576693493,125799.067873347,5.93580604021775,2.9316803765866e-09
"tain09",0.060173094747871,0.00697419765760322,125989.556486232,8.62795947319771,6.31650292854669e-18
"tain10",0.0799753961790658,0.0065286894786661,125268.169916779,12.2498391814165,1.76165209991842e-34
"tain11",0.0803372303655646,0.00673255054961878,126157.812824994,11.9326590678348,8.33002342177728e-33
"regt01",-0.217389055569089,0.0771608185306389,124567.39571164,-2.81735030432276,0.00484293008385811
"regt02",-0.0196144143940176,0.0777826442077695,125780.738085396,-0.252169550081435,0.80091042521091
"regt03",-0.0527100337898593,0.0859218876637923,124052.74648139,-0.613464569075935,0.539570328089831
"regt04",-0.0438703719125067,0.0712257831334989,125242.318812531,-0.615933865272919,0.537939288779318
"regt11",-0.0408028115351085,0.0657697134061864,122893.39533088,-0.620389073054263,0.535002815026992
"regt21",-0.115464591109449,0.0662407787419235,123596.307439027,-1.74310437320344,0.0813178715762109
"regt22",-0.128324693661373,0.0661035341188362,123422.450544628,-1.94126827516787,0.0522280186484054
"regt23",-0.104624481545179,0.0660689196955514,123535.602658585,-1.58356579806803,0.11329512205504
"regt24",-0.141007877168732,0.0659956857131707,123438.396804455,-2.13662265411678,0.0326306558363369
